"month","year","day_type","entry_station","exit_station","avg_trips","date"
9,2013,"Weekday","RM","RM",8.85,2013-09-01
9,2013,"Weekday","RM","EN",142.9,2013-09-01
9,2013,"Weekday","RM","EP",115.25,2013-09-01
9,2013,"Weekday","RM","NB",123.6,2013-09-01
9,2013,"Weekday","RM","BK",522.7,2013-09-01
9,2013,"Weekday","RM","AS",118.55,2013-09-01
9,2013,"Weekday","RM","MA",181.05,2013-09-01
9,2013,"Weekday","RM","19",168,2013-09-01
9,2013,"Weekday","RM","12",201.6,2013-09-01
9,2013,"Weekday","RM","LM",65.4,2013-09-01
9,2013,"Weekday","RM","FV",108.8,2013-09-01
9,2013,"Weekday","RM","CL",98.9,2013-09-01
9,2013,"Weekday","RM","SL",52.8,2013-09-01
9,2013,"Weekday","RM","BF",38.85,2013-09-01
9,2013,"Weekday","RM","HY",43.8,2013-09-01
9,2013,"Weekday","RM","SH",25.5,2013-09-01
9,2013,"Weekday","RM","UC",17.75,2013-09-01
9,2013,"Weekday","RM","FM",43.1,2013-09-01
9,2013,"Weekday","RM","CN",31.25,2013-09-01
9,2013,"Weekday","RM","PH",18.45,2013-09-01
9,2013,"Weekday","RM","WC",28.45,2013-09-01
9,2013,"Weekday","RM","LF",17.05,2013-09-01
9,2013,"Weekday","RM","OR",12.8,2013-09-01
9,2013,"Weekday","RM","RR",21.4,2013-09-01
9,2013,"Weekday","RM","OW",26.85,2013-09-01
9,2013,"Weekday","RM","EM",351.65,2013-09-01
9,2013,"Weekday","RM","MT",354.6,2013-09-01
9,2013,"Weekday","RM","PL",338.8,2013-09-01
9,2013,"Weekday","RM","CC",269.8,2013-09-01
9,2013,"Weekday","RM","16",135.5,2013-09-01
9,2013,"Weekday","RM","24",124.15,2013-09-01
9,2013,"Weekday","RM","GP",38.75,2013-09-01
9,2013,"Weekday","RM","BP",78.3,2013-09-01
9,2013,"Weekday","RM","DC",112.6,2013-09-01
9,2013,"Weekday","RM","CM",16.55,2013-09-01
9,2013,"Weekday","RM","CV",7.75,2013-09-01
9,2013,"Weekday","RM","ED",20.2,2013-09-01
9,2013,"Weekday","RM","NC",8.45,2013-09-01
9,2013,"Weekday","RM","WP",50.3,2013-09-01
9,2013,"Weekday","RM","SS",12.55,2013-09-01
9,2013,"Weekday","RM","SB",28.05,2013-09-01
9,2013,"Weekday","RM","SO",36.05,2013-09-01
9,2013,"Weekday","RM","MB",35.65,2013-09-01
9,2013,"Weekday","RM","WD",5.2,2013-09-01
