station_id,name,description,address,lon,lat,station_code,station_name
12TH,12th St. Oakland City Center (12TH),"1245 Broadway, Oakland CA 94612","1245 Broadway, Oakland CA 94612",-122.271604,37.803664,12,12th Street / Oakland City Center
16TH,16th St. Mission (16TH),"2000 Mission Street, San Francisco CA 94110","2000 Mission Street, San Francisco CA 94110",-122.419694,37.765062,16,16th Street Mission
19TH,19th St. Oakland (19TH),"1900 Broadway, Oakland CA 94612","1900 Broadway, Oakland CA 94612",-122.269029,37.80787,19,19th Street Oakland
24TH,24th St. Mission (24TH),"2800 Mission Street, San Francisco CA 94110","2800 Mission Street, San Francisco CA 94110",-122.418466,37.752254,24,24th Street Mission
ASHB,Ashby (ASHB),"3100 Adeline Street, Berkeley CA 94703","3100 Adeline Street, Berkeley CA 94703",-122.26978,37.853024,AS,Ashby
BALB,Balboa Park (BALB),"401 Geneva Avenue, San Francisco CA 94112","401 Geneva Avenue, San Francisco CA 94112",-122.4474142,37.72198087,BP,Balboa Park
BAYF,Bay Fair (BAYF),"15242 Hesperian Blvd., San Leandro CA 94578","15242 Hesperian Blvd., San Leandro CA 94578",-122.126871,37.697185,BF,Bayfair
CAST,Castro Valley (CAST),"3301 Norbridge Dr., Castro Valley CA 94546","3301 Norbridge Dr., Castro Valley CA 94546",-122.075567,37.690754,CV,Castro Valley
CIVC,Civic Center/UN Plaza (CIVC),"1150 Market Street, San Francisco CA 94102","1150 Market Street, San Francisco CA 94102",-122.413756,37.779528,CC,Civic Center
COLM,Colma (COLM),"365 D Street, Colma CA 94014","365 D Street, Colma CA 94014",-122.466233,37.684638,CM,Colma
COLS,Coliseum/Oakland Airport (COLS),"7200 San Leandro St., Oakland CA 94621","7200 San Leandro St., Oakland CA 94621",-122.197273,37.754006,CL,Coliseum / Oakland Airport
CONC,Concord (CONC),"1451 Oakland Avenue, Concord CA 94520","1451 Oakland Avenue, Concord CA 94520",-122.029095,37.973737,CN,Concord
